display_name,system_name,Description,value_data_type
Beam Angle,BeamAngle_Wall_Sconces,Beam Angle,list
Beam Spread,BeamSpread_Deck_Lights,Beam Spread,numeric
Beam Spread,BeamSpread_Flexible_Track_Lighting,Beam Spread,numeric
Beam Spread,BeamSpread_Floodlights,Beam Spread,numeric
Beam Spread,BeamSpread_Landscape_Lighting,Beam Spread,numeric
Beam Spread,BeamSpread_Linear_Track_Lighting,Beam Spread,numeric
Beam Spread,BeamSpread_Pathway_Lights,Beam Spread,numeric
Beam Spread,BeamSpread_Post_Lights,Beam Spread,numeric
Beam Spread,BeamSpread_Security_Lights,Beam Spread,numeric
Beam Spread,BeamSpread_Spotlight_Tracks,Beam Spread,numeric
Beam Spread,BeamSpread_Track_Lighting,Beam Spread,numeric
Beam Spread,BeamSpread_Track_Lighting_Systems,Beam Spread,numeric
Bulb Type,BulbType_Arc_Lamps,Bulb Type,text
Bulb Type,BulbType_Bedside_Lamps,Bulb Type,text
Bulb Type,BulbType_Buffet_Lamps,Bulb Type,text
Bulb Type,BulbType_Cabinet_Spotlights,Bulb Type,text
Bulb Type,BulbType_Desk_Lamps,Bulb Type,text
Bulb Type,BulbType_Floor_Lamps,Bulb Type,text
Bulb Type,BulbType_LED_Puck_Lights,Bulb Type,text
Bulb Type,BulbType_Strip_Lights,Bulb Type,text
Bulb Type,BulbType_Table_Lamps,Bulb Type,text
Bulb Type,BulbType_Task_Lamps,Bulb Type,text
Bulb Type,BulbType_Under-Cabinet_Lighting,Bulb Type,text
Bulb Type Compatibility,BulbTypeCompatibility_Ceiling_Lights,Bulb Type Compatibility,list
Bulb Type Compatibility,BulbTypeCompatibility_Chandeliers,Bulb Type Compatibility,list
Bulb Type Compatibility,BulbTypeCompatibility_Flush_Mount_Lights,Bulb Type Compatibility,list
Bulb Type Compatibility,BulbTypeCompatibility_Pendant_Lights,Bulb Type Compatibility,list
Bulb Type Compatibility,BulbTypeCompatibility_Recessed_Lighting,Bulb Type Compatibility,list
Bulb Type Compatibility,BulbTypeCompatibility_Wall_Sconces,Bulb Type Compatibility,list
Color Coding,ColorCoding_Electrical_Tape,Color Coding,text
Color Coding,ColorCoding_Wire_Connectors,Color Coding,text
Color Options,ColorOptions_LED_Light_Bars,Color Options,text
Color Options,ColorOptions_LED_Panel_Lights,Color Options,text
Color Options,ColorOptions_LED_Strip_Lights,Color Options,text
Color Options,ColorOptions_RGB_LED_Strips,Color Options,text
Color Options,ColorOptions_Waterproof_LED_Strips,Color Options,text
Color Temperature,ColorTemperature_Arc_Lamps,Color Temperature,list
Color Temperature,ColorTemperature_Bedside_Lamps,Color Temperature,list
Color Temperature,ColorTemperature_Buffet_Lamps,Color Temperature,list
Color Temperature,ColorTemperature_Cabinet_Spotlights,Color Temperature,list
Color Temperature,ColorTemperature_Ceiling_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Chandeliers,Color Temperature,list
Color Temperature,ColorTemperature_Deck_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Desk_Lamps,Color Temperature,list
Color Temperature,ColorTemperature_Flexible_Track_Lighting,Color Temperature,list
Color Temperature,ColorTemperature_Floodlights,Color Temperature,list
Color Temperature,ColorTemperature_Floor_Lamps,Color Temperature,list
Color Temperature,ColorTemperature_Flush_Mount_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Landscape_Lighting,Color Temperature,list
Color Temperature,ColorTemperature_LED_Puck_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Linear_Track_Lighting,Color Temperature,list
Color Temperature,ColorTemperature_Pathway_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Pendant_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Post_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Recessed_Lighting,Color Temperature,list
Color Temperature,ColorTemperature_Security_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Spotlight_Tracks,Color Temperature,list
Color Temperature,ColorTemperature_Strip_Lights,Color Temperature,list
Color Temperature,ColorTemperature_Table_Lamps,Color Temperature,list
Color Temperature,ColorTemperature_Task_Lamps,Color Temperature,list
Color Temperature,ColorTemperature_Track_Lighting,Color Temperature,list
Color Temperature,ColorTemperature_Track_Lighting_Systems,Color Temperature,list
Color Temperature,ColorTemperature_Under-Cabinet_Lighting,Color Temperature,list
Color Temperature,ColorTemperature_Wall_Sconces,Color Temperature,list
Color/Finish,Color/Finish_GFCI_Outlets,Color/Finish,text
Color/Finish,Color/Finish_Power_Outlets,Color/Finish,text
Color/Finish,Color/Finish_USB_Outlets,Color/Finish,text
Color/Finish,Color/Finish_Weatherproof_Outlets,Color/Finish,text
Compatibility,Compatibility_Dimmer_Switches,Compatibility,text
Compatibility,Compatibility_Light_Switches,Compatibility,text
Compatibility,Compatibility_Smart_Switches,Compatibility,text
Compliance,Compliance_Backup_Lights,Compliance,text
Compliance,Compliance_Emergency_Floodlights,Compliance,text
Compliance,Compliance_Emergency_Lights,Compliance,text
Compliance,Compliance_Exit_Signs,Compliance,text
Conduit Type,ConduitType_Electrical_Conduits,Conduit Type,text
Connectivity,Connectivity_Cabinet_Spotlights,Connectivity,text
Connectivity,Connectivity_LED_Puck_Lights,Connectivity,text
Connectivity,Connectivity_Strip_Lights,Connectivity,text
Connectivity,Connectivity_Task_Lamps,Connectivity,text
Connectivity,Connectivity_Under-Cabinet_Lighting,Connectivity,text
Control Method,ControlMethod_LED_Light_Bars,Control Method,text
Control Method,ControlMethod_LED_Panel_Lights,Control Method,text
Control Method,ControlMethod_LED_Strip_Lights,Control Method,text
Control Method,ControlMethod_RGB_LED_Strips,Control Method,text
Control Method,ControlMethod_Waterproof_LED_Strips,Control Method,text
Cord Length,CordLength_Arc_Lamps,Cord Length,numeric
Cord Length,CordLength_Bedside_Lamps,Cord Length,numeric
Cord Length,CordLength_Buffet_Lamps,Cord Length,numeric
Cord Length,CordLength_Desk_Lamps,Cord Length,numeric
Cord Length,CordLength_Floor_Lamps,Cord Length,numeric
Cord Length,CordLength_Table_Lamps,Cord Length,numeric
Current Rating,CurrentRating_GFCI_Outlets,Current Rating,numeric
Current Rating,CurrentRating_Power_Outlets,Current Rating,numeric
Current Rating,CurrentRating_USB_Outlets,Current Rating,numeric
Current Rating,CurrentRating_Weatherproof_Outlets,Current Rating,numeric
